NewHash(v1.38),BaseHash
01C7B9B38428AEB6,B7D390F8F682127B
B4C94523F023419C,431E33F39AEFC4C4
A8A024587329F36A,84CE5E7CD3A7E197
67B2C79AA7FF5738,2AC1ECA957EB9158
B2E0C0D6922D31F2,F4B0F1D16C5ECDB7
FC40CBF7B90CA77C,D1A5295FE7ADF001
F2BFA0430F0A0FCB,65FFB0A9D15E084E
61E1DD6125A3EEE6,4B1BAFAB7E8F4DA7
083961498679DC9F,95F3ABD15748A3D6
397DC58FF00298D1,091D6114DC63264E
50CAD495A460B305,1009A332C2986B7C
DC3A310219E5DA62,D9A82F3AB1350294
D796CB5BA8F20E32,DC89C3FDCADCA32F
1A24A179F9B31654,9B050CE2036A4DAD
388EB2B86C73B6B3,483D665D1287B547
2FFB6B224F4B2926,832AD84AA258AE80
8ABE8608576D9CE3,0CA958CB1364FEA2
313CE5879CEB6FCD,644B8DBA4F69BB73
751B70C3D034E187,D406352E21A7E1D0
A1607996431332DF,E5AEA27726895658
EEA3B200A6FEB65B,6992F96C61296A6B
8ABFB70C49CC43E2,9EE168DA5EB62BF3
D05BFF0C0A12C68F,97AC07AE39E43022
E9676F61BC0B3321,1CAD2A287D454E0C
605F5A140F202491,4E37ACBE6D599CB9
1218E6886D3D8327,67091B7523DD301D
06843DA7060A026B,78CDDD1E6367978D
B346476EF1A64897,5976053523EA16C8
E81AFC1BC4CC41CE,36F15E322F9C149E
AD6B3148A78AE9B6,B76EE71E771BDAA1
D45DC2893621E1FE,EE91D595F0A7D056
831E0242595560DF,6178A36ADE734254
A670B3662FAFFBD0,1AA7FA4BBD799B88
CF3A965906452031,B99E3F8D18D17364
76B02E21ED27A469,CE293C7793B5EC3F
1F13D5AE5CB17E17,0481156B0E5C0340
B60FEBA45333D36F,54BBD34B26EF27D9
AA81B5F10BC43AC2,5E85B9A5E6984D7D
4E5C93BD0C32FBF8,71E63FA8638D90D9
8F75998877616996,39448B5909AEB658
3E9B2F01C50DF595,F784CE07ED70869A
3364AA97340CA215,C84352B5E80ABF68
5D10B3795F3FC886,50309A384D827846
0EDE326D47CD0F3E,871989750407EC02
B282DC6EBD803C75,FA13CA7EC498AD09
4D9CA1009AFBD057,EA480A62F5D29812
C7622C0D36B2FDA8,095503B9F1CAC814
3C606747B23E497B,52261CF13B75FFA8
0703B9079823DA4A,2BDB866C1791F9D7
52D59AB61DDC05DD,7BC3A9305442B7FD
F29CF591C4BF6CEE,087B9DEC55AB5B29
9C74B0BC831B753A,F5B58EA504D56F28
FF41B4B141ED981C,817234E2BB671752
166E7CF68597D8B5,F8E5239A2E6E0754
CEA04D83135264CC,2BD4A25EBA9A42AD
7DBDD04862D95F04,5FB5CBC5FDADA3C9
A06C969B02A97298,05351AF95891EE5C
0CE3AA5E1CA19E10,6C9577C090944B92
29C24BFBED8AB8FB,241C904AE6C04171
C0F97FCE55094987,C77FD8F88190C5A5
